[1705928966.8402212] Voltage: 4.98V, Current: 385.20mA, Power: 1919.73mW
[1705928966.889961] Voltage: 4.98V, Current: 399.10mA, Power: 1987.40mW
[1705928966.9386828] Voltage: 4.98V, Current: 395.10mA, Power: 1965.83mW
[1705928966.9878154] Voltage: 4.98V, Current: 393.00mA, Power: 1956.77mW
[1705928967.0369263] Voltage: 4.99V, Current: 398.20mA, Power: 1985.95mW
[1705928967.090485] Voltage: 4.99V, Current: 384.30mA, Power: 1918.33mW
[1705928967.1393223] Voltage: 4.98V, Current: 382.70mA, Power: 1906.78mW
[1705928967.1886208] Voltage: 4.98V, Current: 389.70mA, Power: 1941.95mW
[1705928967.2382436] Voltage: 4.98V, Current: 389.90mA, Power: 1941.38mW
[1705928967.2910295] Voltage: 4.99V, Current: 429.80mA, Power: 2143.06mW
[1705928967.3399544] Voltage: 4.98V, Current: 385.70mA, Power: 1921.43mW
[1705928967.3893197] Voltage: 4.98V, Current: 384.80mA, Power: 1915.99mW
[1705928967.4389594] Voltage: 4.98V, Current: 388.70mA, Power: 1936.82mW
[1705928967.4875755] Voltage: 4.99V, Current: 389.70mA, Power: 1943.33mW
[1705928967.5406396] Voltage: 4.98V, Current: 402.30mA, Power: 2005.41mW
[1705928967.5898194] Voltage: 4.99V, Current: 396.30mA, Power: 1976.44mW
[1705928967.6391685] Voltage: 4.99V, Current: 393.70mA, Power: 1964.93mW
[1705928967.6882703] Voltage: 4.99V, Current: 427.00mA, Power: 2129.74mW
[1705928967.737755] Voltage: 4.98V, Current: 384.00mA, Power: 1913.61mW
[1705928967.790713] Voltage: 4.99V, Current: 386.40mA, Power: 1928.18mW
[1705928967.83981] Voltage: 4.99V, Current: 382.90mA, Power: 1909.53mW
[1705928967.8890421] Voltage: 4.98V, Current: 383.60mA, Power: 1912.12mW
[1705928967.938163] Voltage: 4.98V, Current: 415.50mA, Power: 2071.00mW
[1705928967.991429] Voltage: 4.99V, Current: 402.20mA, Power: 2006.05mW
[1705928968.0402906] Voltage: 4.98V, Current: 383.00mA, Power: 1906.38mW
[1705928968.0896363] Voltage: 4.99V, Current: 401.40mA, Power: 2001.45mW
[1705928968.138578] Voltage: 4.98V, Current: 381.20mA, Power: 1899.75mW
[1705928968.187853] Voltage: 4.98V, Current: 396.50mA, Power: 1975.90mW
[1705928968.2410593] Voltage: 4.98V, Current: 398.90mA, Power: 1988.20mW
[1705928968.2901623] Voltage: 4.99V, Current: 393.30mA, Power: 1961.19mW
[1705928968.339524] Voltage: 4.99V, Current: 380.60mA, Power: 1897.29mW
