[1706438446.6663828] starting program
[1706438446.7142067] Ok
[1706440282.890652] Little Frequency: 1200000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001415, s1_inference:39.909302, s2_input:0.338291, s2_inference:75.056198, fps:13.263600,
[1706440307.690402] Little Frequency: 1398000, Big Frequency: 1000000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.001956, s1_inference:24.865700, s2_input:0.549750, s2_inference:41.801102, s3_input:0.030755, s3_inference:122.501999, fps:8.161090,
[1706440330.0346262] Little Frequency: 1608000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:3, order:B-G-L, s1_input:0.001705, s1_inference:16.410900, s2_input:0.489442, s2_inference:29.476299, s3_input:0.165804, s3_inference:153.667007, fps:6.500550,
[1706440344.8305748] Little Frequency: 1000000, Big Frequency: 1608000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001397, s1_inference:107.698997, s2_input:78.578201, s2_inference:27.467400, s3_input:94.033798, s3_inference:11.710000, fps:9.285050,
[1706440361.8545887] Little Frequency: 500000, Big Frequency: 1908000, GPU On: 1, pp1:3, pp2:6, order:B-G-L, s1_input:0.001531, s1_inference:45.552700, s2_input:0.492106, s2_inference:58.597698, s3_input:0.028484, s3_inference:107.632004, fps:9.288470,
[1706440375.0741708] Little Frequency: 1512000, Big Frequency: 1800000, GPU On: 1, pp1:2, pp2:7, order:B-G-L, s1_input:0.001403, s1_inference:41.591801, s2_input:0.363138, s2_inference:72.915001, s3_input:58.545799, s3_inference:12.912800, fps:13.646600,
[1706440387.5101] Little Frequency: 1512000, Big Frequency: 1000000, GPU On: 1, pp1:5, pp2:6, order:B-G-L, s1_input:0.001262, s1_inference:83.559303, s2_input:27.380899, s2_inference:55.598400, s3_input:36.615501, s3_inference:45.470798, fps:11.967400,
[1706440399.6581793] Little Frequency: 1608000, Big Frequency: 1800000, GPU On: 1, pp1:4, pp2:6, order:B-G-L, s1_input:0.001587, s1_inference:53.106098, s2_input:0.324117, s2_inference:53.607899, s3_input:0.022384, s3_inference:60.292599, fps:16.579599,
[1706440435.8852818] Little Frequency: 667000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:4, order:B-G-L, s1_input:0.001802, s1_inference:16.597401, s2_input:0.465405, s2_inference:33.955200, s3_input:0.205098, s3_inference:269.575989, fps:3.706710,
[1706440445.540504] Little Frequency: 1800000, Big Frequency: 1800000, GPU On: 1, pp1:5, pp2:6, order:B-G-L, s1_input:0.001124, s1_inference:55.032101, s2_input:5.320600, s2_inference:49.283600, s3_input:0.018388, s3_inference:57.630001, fps:17.346500,
